时间,设备名称,片上时间(),加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),位移X(mm),位移Y(mm),位移Z(mm),速度X(mm/s),速度Y(mm/s),速度Z(mm/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3(),电量原始值(),电量(%)()
 16:31:52.458,WT901BLE67, 2026-04-25 16:28:10.295, 0.02, -0.028, 0.993, 0, 0, 0.061, , , , , , , -1.637, -1.154, -32.921, -5.507, 11.860, 21.093, 30.93, 0.95877, -0.01654, -0.00562, -0.28345, 380, 55,
 16:31:52.587,WT901BLE67, 2026-04-25 16:28:10.295, 0.02, -0.028, 0.994, 0, 0, 0.061, , , , , , , -1.637, -1.154, -32.921, -5.507, 11.860, 21.093, 30.93, 0.95877, -0.01654, -0.00562, -0.28345, 380, 55,
 16:31:52.666,WT901BLE67, 2026-04-25 16:28:10.295, 0.02, -0.028, 0.994, 0, 0, 0.061, , , , , , , -1.637, -1.154, -32.921, -5.507, 11.860, 21.093, 30.93, 0.95877, -0.01654, -0.00562, -0.28345, 380, 55,
 16:31:52.794,WT901BLE67, 2026-04-25 16:28:10.295, 0.02, -0.028, 0.993, 0, 0, 0.061, , , , , , , -1.637, -1.154, -32.921, -7.307, 9.240, 20.693, 30.93, 0.95877, -0.01654, -0.00562, -0.28345, 380, 55,
 16:31:52.858,WT901BLE67, 2026-04-25 16:28:10.295, 0.02, -0.028, 0.994, 0, 0, 0.061, , , , , , , -1.637, -1.154, -32.921, -7.307, 9.240, 20.693, 30.93, 0.95877, -0.01654, -0.00562, -0.28345, 380, 55,
 16:31:52.970,WT901BLE67, 2026-04-25 16:28:10.295, 0.02, -0.028, 0.994, 0, 0, 0.061, , , , , , , -1.637, -1.154, -32.921, -7.307, 9.240, 20.693, 30.93, 0.95877, -0.01654, -0.00562, -0.28342, 380, 55,
 16:31:53.065,WT901BLE67, 2026-04-25 16:28:10.890, 0.02, -0.028, 0.994, 0, 0, 0.122, , , , , , , -1.637, -1.154, -32.921, -7.307, 9.240, 20.693, 30.93, 0.95877, -0.01654, -0.00562, -0.28342, 380, 55,
 16:31:53.177,WT901BLE67, 2026-04-25 16:28:10.890, 0.02, -0.028, 0.994, 0, 0, 0.061, , , , , , , -1.637, -1.154, -32.921, -7.307, 9.240, 20.693, 30.93, 0.95877, -0.01654, -0.00562, -0.28342, 380, 55,
 16:31:53.273,WT901BLE67, 2026-04-25 16:28:10.890, 0.02, -0.028, 0.994, 0, 0, 0.061, , , , , , , -1.637, -1.154, -32.921, -7.307, 9.240, 20.693, 30.93, 0.95877, -0.01654, -0.00562, -0.28342, 380, 55,
