PCTime	MagType	HX	HY	HZ	AsX	AsY	AsZ	Q0	Q1	Q2	Q3
2026-04-25 22:29:14.771	6	27.747	-9.120	-46.347	0	0	0	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:14.894	6	27.747	-9.120	-46.347	0	0	0.061	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:14.987	6	27.747	-9.120	-46.347	0	0	0	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:15.079	6	27.747	-9.120	-46.347	0	0	0	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:15.186	6	17.060	-28.873	-78.320	0	0	0	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:15.282	6	17.160	-28.860	-78.320	0	0	0	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:15.998	6	17.547	-27.220	-78.740	-56.519	-1.099	-290.649	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:16.062	6	18.907	-23.160	-77.120	15.93	18.433	-211.67	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:16.267	6	18.547	-14.160	-71.973	-2.014	-30.945	-134.216	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:16.596	6	14.860	-3.387	-66.947	13.977	9.705	-23.56	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:16.879	6	6.660	8.553	-60.007	-0.793	0.671	6.775	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:17.086	6	0.460	12.013	-60.640	-2.319	-1.16	4.211	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:17.287	6	-1.980	11.840	-61.780	-1.038	1.587	0.427	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:17.682	6	-1.927	11.153	-62.553	0.549	0.183	-1.587	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:18.882	6	-1.353	11.480	-62.320	-0.854	0.977	0.366	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:19.814	6	-0.800	11.093	-62.407	-0.854	0.244	-2.747	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:21.519	6	-0.180	10.927	-62.827	0.854	0	1.831	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:22.119	6	0.487	11.393	-62.160	-9.216	2.075	-0.977	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:22.568	6	1.460	12.127	-61.073	0.916	-0.244	2.93	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:22.730	6	1.907	12.440	-60.400	0	1.099	-0.366	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:23.114	6	2.147	12.827	-60.000	2.563	-0.732	0.916	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:26.946	6	2.573	12.327	-60.753	6.775	2.563	-12.695	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:27.557	6	0.487	11.840	-61.507	5.981	-3.784	16.541	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:27.760	6	-0.580	11.427	-61.960	14.099	1.404	14.282	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:28.152	6	0.087	10.353	-63.120	-58.655	10.498	-0.61	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:28.360	6	1.520	11.340	-61.860	10.62	-32.532	-20.264	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:28.750	6	-0.467	14.540	-58.987	16.846	9.399	-24.292	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:28.967	6	-1.867	15.113	-58.787	26.733	-28.625	-1.648	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:29.174	6	-7.767	13.853	-61.060	16.968	14.709	13.733	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:29.390	6	-10.593	13.853	-61.060	-37.17	-38.696	-20.569	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:29.500	6	-10.593	11.727	-63.527	13	9.644	-1.892	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:29.768	6	-13.027	9.893	-64.953	-8.728	-3.662	-5.981	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:29.986	6	-13.640	9.567	-65.093	-30.64	3.418	9.216	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:30.218	6	-14.200	10.493	-64.080	0	-34.424	1.587	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:30.579	6	-15.040	11.927	-62.707	5.676	9.033	-13.916	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:30.770	6	-16.113	12.927	-61.700	-6.897	-1.77	8.484	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:30.977	6	-17.480	13.880	-60.587	15.32	6.775	-6.775	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:31.389	6	-18.440	13.540	-60.900	-8.24	-1.099	-6.531	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:31.593	6	-19.127	13.180	-61.013	0.977	0.671	0.305	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:31.910	6	-20.440	12.767	-61.113	12.207	-0.122	3.784	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:32.198	6	-20.900	12.200	-61.447	-18.616	3.723	1.16	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:33.190	6	-21.100	13.000	-60.153	-1.038	-5.127	7.935	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:33.399	6	-22.153	13.280	-59.713	1.282	-2.991	-3.052	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:33.526	6	-22.867	13.440	-59.267	1.892	1.709	-5.249	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:33.789	6	-23.300	13.627	-58.747	2.38	-0.793	6.653	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:36.613	6	-22.627	14.267	-58.873	-18.921	-0.061	-0.488	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:36.831	6	-22.800	14.867	-58.127	-6.226	-11.536	-8.118	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:37.151	6	-22.827	16.867	-55.100	-44.739	1.465	8.484	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:37.418	6	-22.267	20.400	-48.713	-15.381	0.244	-0.366	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:37.628	6	-21.793	22.740	-43.407	-34.973	0.427	2.014	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:37.801	6	-21.393	24.953	-37.373	-20.386	7.141	-0.854	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:38.027	6	-20.940	26.067	-32.560	-11.475	-5.554	2.441	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:38.317	6	-20.800	26.500	-28.680	-20.02	-10.62	-7.874	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:38.532	6	-20.893	26.200	-22.240	-25.696	2.747	-2.625	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:38.833	6	-21.353	24.367	-14.993	-21.118	4.089	-7.751	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:39.038	6	-22.080	22.100	-9.760	-42.725	-0.061	1.16	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:39.218	6	-22.853	19.127	-4.647	-36.011	-5.066	-2.502	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:39.440	6	-23.480	15.413	0.227	-25.146	-0.427	-2.319	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:39.728	6	-23.813	11.493	4.153	-2.869	3.662	-5.371	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:39.925	6	-23.927	7.553	7.587	-17.456	-2.441	3.235	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:40.147	6	-23.853	2.593	10.880	-46.57	-1.526	5.31	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:40.367	6	-23.293	-1.047	12.920	-41.199	-6.836	-8.423	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:40.630	6	-22.793	-5.633	14.700	-49.866	-0.916	-2.38	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:40.898	6	-22.180	-15.547	16.233	-30.029	-0.488	2.93	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:41.057	6	-22.067	-19.307	16.380	-31.25	-3.357	8.484	0.60452	0	-0.00012	0.79651
2026-04-25 22:29:41.277	6	-22.200	-26.500	15.887	-32.166	-0.366	3.723	0.60452	0	-0.00012	0.79651
