PCTime	MagType	HX	HY	HZ	AsX	AsY	AsZ	Q0	Q1	Q2	Q3
2026-04-25 16:17:43.196	6	9.913	37.840	21.773	-4.272	-10.864	-3.296	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:43.244	6	9.913	37.840	21.773	-5.737	-3.784	0.977	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:43.387	6	9.913	37.840	21.773	-11.047	7.935	12.268	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:43.499	6	9.913	37.840	21.773	-4.211	0.305	3.845	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:43.577	6	9.913	37.840	21.773	-5.676	0.916	17.334	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:43.688	6	9.913	37.840	21.773	-8.484	1.77	13.062	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:44.601	6	-1.967	37.840	21.773	-15.991	40.283	36.072	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:44.983	6	-1.967	63.953	3.980	33.875	16.663	-4.272	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:45.500	6	-10.040	67.320	3.180	37.048	17.883	39.49	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:46.261	6	-10.653	66.393	6.340	-2.991	4.578	-2.869	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:46.716	6	-11.653	66.607	6.080	7.935	7.263	28.442	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:47.415	6	-10.093	66.580	6.013	-16.846	-6.897	5.737	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:47.814	6	-9.240	66.967	5.667	8.545	5.798	-23.376	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:48.290	6	-8.827	65.507	7.340	-2.686	1.831	-17.334	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:48.808	6	-8.680	63.140	10.813	-1.038	-0.122	-9.644	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:49.309	6	-7.900	58.300	16.100	1.77	0.305	-18.921	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:49.750	6	-7.880	54.333	19.513	1.526	-0.793	-10.498	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:50.429	6	-7.240	45.480	24.027	4.15	2.686	-6.348	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:50.838	6	-7.093	43.667	24.853	-5.005	0.61	-16.663	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:51.023	6	-7.313	40.507	25.793	-2.136	0.122	-13.367	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:51.327	6	-7.740	36.887	26.713	-2.808	5.676	-10.986	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:51.622	6	-8.413	32.960	27.240	-1.16	-0.305	-9.094	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:52.131	6	-9.213	27.153	27.667	1.892	1.709	-4.639	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:52.660	6	-9.193	24.673	27.593	-2.502	0.977	-15.93	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:53.039	6	-9.227	16.913	26.013	5.737	1.099	-26.245	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:53.465	6	-8.927	10.160	23.427	5.615	6.348	-8.728	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:54.084	6	-8.193	3.407	19.593	-9.888	0.61	-17.395	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:54.566	6	-8.053	-3.613	13.967	1.526	-1.648	-8.179	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:54.968	6	-8.453	-8.453	8.493	2.136	2.747	-23.621	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:55.459	6	-8.753	-11.387	4.413	-2.991	-2.075	-16.296	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:55.960	6	-8.953	-14.953	-3.333	7.629	3.845	-25.269	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:56.498	6	-9.940	-16.873	-12.187	11.841	3.113	-18.555	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:57.265	6	-8.313	-15.140	-31.073	-2.991	0.61	-24.292	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:57.783	6	-8.627	-13.200	-35.960	1.221	-0.061	-33.142	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:58.283	6	-9.567	-2.420	-51.847	-7.751	-5.737	-47.913	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:58.971	6	-9.367	7.340	-58.420	-2.869	-0.916	-33.752	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:59.437	6	-9.027	12.640	-60.547	3.967	-3.113	-49.011	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:17:59.972	6	-9.767	28.860	-63.020	0.183	6.592	-46.082	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:00.736	6	-10.427	51.480	-56.860	-4.7	-2.197	-10.193	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:01.183	6	-10.313	59.173	-51.333	7.141	-7.69	-59.875	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:01.709	6	-10.393	68.247	-38.420	-2.136	-4.7	-19.714	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:02.333	6	-10.080	72.427	-27.520	-4.639	-3.418	-13.672	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:02.758	6	-9.967	73.600	-16.647	0	0.977	-8.484	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:03.259	6	-10.280	72.053	-6.420	0.183	3.113	-35.034	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:03.784	6	-10.627	68.493	3.240	-7.629	-1.587	-37.17	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:04.281	6	-8.513	68.493	3.240	2.991	-1.343	-34.912	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:04.654	6	-8.513	53.827	19.353	6.042	-11.475	-32.349	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:05.229	6	-7.040	37.993	26.253	-0.549	4.456	-27.832	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:05.758	6	-7.813	19.107	26.567	-1.648	-1.465	-13.428	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:06.354	6	-7.967	7.687	26.567	0.183	-0.61	-6.714	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:06.774	6	-7.967	7.687	22.793	11.719	-5.554	-25.513	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:07.435	6	-8.593	-9.747	6.580	-4.517	1.77	-33.325	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:08.151	6	-10.153	-15.587	-6.720	5.249	13.245	-71.533	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:08.770	6	-10.540	-16.173	-14.073	1.892	-1.16	-30.334	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:09.181	6	-10.680	-15.360	-30.287	4.395	-4.578	-29.175	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:09.960	6	-11.327	-9.380	-43.533	2.686	5.615	-15.076	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:10.629	6	-11.853	-6.627	-47.287	2.563	3.601	-50.476	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:11.096	6	-12.053	6.647	-57.773	5.798	1.77	-34.485	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:11.792	6	-10.700	22.220	-63.547	4.822	7.324	-19.287	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:12.375	6	-10.313	26.347	-64.000	4.761	2.93	-53.528	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:12.990	6	-8.300	50.453	-57.620	-2.869	0.122	-20.691	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:13.515	6	-8.740	60.013	-50.920	-1.465	-12.329	-59.509	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:14.263	6	-10.813	72.153	-28.120	-2.93	-4.089	-45.166	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:15.000	6	-10.740	73.387	-10.007	-2.808	0.488	-24.841	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:15.602	6	-9.580	69.280	2.100	-1.465	-6.592	-18.188	0.7262	-0.63889	0.17682	-0.18198
2026-04-25 16:18:16.226	6	-9.380	66.000	7.793	-0.122	-0.488	-51.27	0.7262	-0.63889	0.17682	-0.18198
